Title,Source title,Cited by,Authors Country,Author Keywords,Year
"Development of an Industrial Process Based on the Groebke-Blackburn-Bienaymé Multicomponent Reaction: Efficient Preparation­ of 3-Aminoimidazo[1,2-a]pyrazines",Synthesis (Germany),16,Switzerland,"cyclisation, Groebke-Blackburn-Bienaymé reaction, multicomponent reaction, one-pot process, sulfate salt",2017
The GABA a receptor subunits heterologously expressed in Xenopus oocytes,Mini-Reviews in Medicinal Chemistry,6,Malaysia,"CDNA, cRNA, GABA a receptor, Subunits, Two-electrode voltage clamp, Xenopus laevis oocytes",2013
"Multicomponent Synthesis of 1,3-Diketone-Linked N-Substituted Pyrroles, Pyrrolo[1,2- a]pyrazines, Pyrrolo[1,4]diazepines, and Pyrrolo[1,4]diazocines",Journal of Organic Chemistry,24,,,2019
"Synthesis and biological evaluation of pyrazolo[1,5-a]pyrimidine-3-carboxamide as antimicrobial agents",Medicinal Chemistry Research,62,"Egypt, France","5-Aminopyrazole, Antimicrobial agents, Pyrazolo[1,5-a]pyrimidine, X-ray crystallography",2017
"Stereocontrolled construction of 4,5-dihydropyrrolo[1,2-a]quinoxaline scaffolds via chiral phosphoramidate catalyzed Pictet-Spengler-type reaction",Tetrahedron Asymmetry,17,China,,2016
"Synthesis of new 1-phenylthieno[1,2,4]triazolo[4,3-a]pyrimidin-5(4H)-one derivatives",Journal of Heterocyclic Chemistry,15,,,2011
"General C-H Arylation Strategy for the Synthesis of Tunable Visible Light-Emitting Benzo[a]imidazo[2,1,5-c,d]indolizine Fluorophores",Journal of Organic Chemistry,31,Canada,,2017
"Synthesis of Functionalized Pyrazolo[1,5-a]pyridines: [3+2] Cycloaddition of N-Aminopyridines and α,β-Unsaturated Carbonyl Compounds/Alkenes at Room Temperature",Synthesis (Germany),28,India,"chalcones, drug intermediates, metal-free, N-methylpyrrolidone, [3+2] cycloaddition",2017
Long noncoding RNA #61 exerts a broad anti-influenza a virus effect by its long arm rings,Antiviral Research,1,China,"Broad antiviral strategy, Influenza A virus, LNP, Long noncoding RNA, Mice",2023
Synthesis and antitumor activities of a series of novel quinoxalinhydrazides,Bioorganic and Medicinal Chemistry,115,"Italy, United States",,2007
"Exploring the isoform selectivity of TGX-221 related pyrido[1,2-a]pyrimidinone-based Class IA PI 3-kinase inhibitors: Synthesis, biological evaluation and molecular modelling",Bioorganic and Medicinal Chemistry,13,New Zealand,"Comparative modelling, Docking, p110β, Phosphatidylinositol 3-kinase, PI3K, TGX-221",2015
"Synthesis and anti-microbial activity of novel series of N-(substituted phenyl- 1H-tetrazol-1-yl)-7-substituted tetrazolo [1,5-a]quinoxalin-4yl-amine derivatives",Der Pharma Chemica,2,India,"Anti-microbial activity, Sodium azide, Substituted 4-hydrazinyl tetrazolo[1,5-a]-quinoxaline, Substituted aromatic aldehydes",2016
Virus-neutralizing antibody response of mice to consecutive infection with human and avian influenza A viruses,Acta Virologica,1,Slovakia,"Antibody response, Avian influenza A viruses, HA2-specific antibodies, Original antigenic sin, Sequential influenza a infection, Virus-neutralizing antibodies",2015
"Synthesis of 9H-Pyrrolo[1,2-a]indole and 3H-Pyrrolizine Derivatives via a Phosphine-Catalyzed Umpolung Addition/Intramolecular Wittig Reaction",Journal of Organic Chemistry,66,France,,2016
"Synthesis of new hexahydropyrimido[1,2-a]azepine derivatives bearing functionalized aryl and heterocyclic moieties as anti-inflammatory agents",Future Medicinal Chemistry,2,Egypt,"anti-inflammatory, PGE2, pyrimidoazepine, selective COX-2 inhibition",2021
"Sequential Photo-oxidative [3 + 2] Cycloaddition/Oxidative Aromatization Reactions for the Synthesis of Pyrrolo[2,1-a]isoquinolines Using Molecular Oxygen as the Terminal Oxidant",Journal of Organic Chemistry,80,Japan,,2016
Functional and structural properties of mammalian acyl-coenzyme A thioesterases,Progress in Lipid Research,125,Australia,"β-Oxidation, Acyl-coenzyme A hydrolase, Acyl-coenzyme A thioesterase, Arachidonoyl-CoA, Fatty acid metabolism, Hotdog fold",2010
"Synthesis and anti-inflammatory activity evaluation of novel 7-alkoxy-1-amino-4,5-dihydro[1,2,4]triazole[4,3-a]quinolines",Archiv der Pharmazie,29,China,"1,2,4-Triazole, Anti-inflammatory, Quinoline",2008
"New bis([1,2,4]triazolo)[4,3-a:3′,4′-c]quinoxaline derivatives as VEGFR-2 inhibitors and apoptosis inducers: Design, synthesis, in silico studies, and anticancer evaluation",Bioorganic Chemistry,72,"Egypt, Saudi Arabia","Anti-proliferative, Apoptosis, Bis([1,2,4]triazolo)[4,3-a:3′,4′-c]quinoxaline, Docking studies, VEGFR-2 inhibitors",2021
"New one-step synthesis of pyrazolo[1,5-a]pyrimidine and pyrazolo[1,5-a]quinazoline derivatives via multicomponent reactions",Journal of Heterocyclic Chemistry,21,India,,2009
"Recent Developments in the Synthesis of Imidazo[1,2- a ]pyridines",Synthesis (Germany),222,India,"2-aminopyridine, C-H activation, imidazo[1,2- a ]pyridine, multicomponent reaction, tandem reaction",2015
"Intermolecular reductive cyclodimerization of cyclic α,β- unsaturated ketones promoted by a low-valent titanium reagent: A facile synthesis of some new spiro compounds",Synthesis,3,China,"Cyclic α,β-unsaturated ketones, Low-valent titanium, Spiro compounds, Stereochemistry",2007
"Design, synthesis, in vitro cytotoxic activity evaluation, and study of apoptosis inducing effect of new styrylimidazo[1,2-a]pyridines as potent anti-breast cancer agents",Anti-Cancer Agents in Medicinal Chemistry,7,,"anti-breast cancer, Anti-cancer, Apoptosis, Cytotoxicity, Styrylimidazo[1,2-a]pyridines, TUNEL assay",2019
"Synthesis, antitumor activity, pharmacophore modeling and qsar studies of novel pyrazoles and pyrazolo [1, 5-A] pyrimidines against breast adenocarcinoma MCF-7 cell line",International Journal of Pharmacy and Pharmaceutical Sciences,11,Egypt,"1 QSAR study, 3D pharmacophore, Cell cycle profile, MCF-7 breast cancer cell line, Pyrazole, Pyrazolo[1,5-a]pyrimidine",2016
"Synthesis of 2,3,4,5-tetrahydro-1H-pyrrolo[1,2-a][1,4]diazepines and 11-methyl-2,3,4,5-tetrahydro-1H-[1,4]diazepino[1,2-a]indoles",Arkivoc,4,United States,"Benzotriazole, Pyrrolodiazepines, Tetrahydro[1,4]diazepino[1,2-a]indoles",2003
"New synthetic approach to substituted isoindolo[2,1-a]quinoline carboxylic acids via intramolecular Diels-Alder reaction of 4-(N-furyl-2)-4- arylaminobutenes-1 with maleic anhydride",Tetrahedron,38,Russian Federation,"3-Aza-10-oxatricyclo[5. 2.1.0<sup>1,5</sup>]decenes, Homoallylamines (4-(furyl-2)-4-N-arylaminobut-1-enes), Intramolecular Friedel-Crafts alkylation, Intramolecular furan Diels-Alder reaction (IMDAF), Isoindolo[2,1-a]quinolines",2005
Construction and immunogenicity evaluation of recombinant influenza A viruses containing chimeric hemagglutinin genes derived from genetically divergent influenza A H1N1 subtype viruses,PLoS ONE,8,United States,,2015
Screening a protein kinase inhibitor library against Plasmodium falciparum,Malaria Journal,14,"Switzerland, United Kingdom",,2017
"Synthesis, characterization and cytotoxicity evaluation of 5-Hydrazono-[1,2,4]triazolo[1,5-a]quinazolines (Part I)",Latin American Journal of Pharmacy,13,"Egypt, Saudi Arabia","5-hydrazono-[1,2,4]triazoloquinazoline, Cytotoxicity, Hela, Hep-G2, L929, MCF-7",2016
"Traditional uses, phytochemistry, and pharmacology of Ailanthus altissima (Mill.) Swingle bark: A comprehensive review",Journal of Ethnopharmacology,29,China,"Ailanthus altissima, Botany, Pharmacology, Phytochemistry, Traditional uses",2021
Variation in the HA antigenicity of A(H1N1)pdm09-related swine influenza viruses,Journal of General Virology,4,"Egypt, Japan","Antigenicity, Hemagglutinin, Influenza, Pmd09, Swine",2021
"Stereoselective Synthesis of 12-Tetrazolyl Substituted (E)-5H-Quinazolino[3,2-a]quinazolines via Sequential Ugi-Azide/Staudinger/aza-Wittig/Addition/Ag(I)-Catalyzed Cyclization",Journal of Organic Chemistry,11,China,,2023
"Au(I)-Catalyzed Access to 1 H-Pyrrolo[1,2- a]indol-2(3- H)-ones via Oxidation of Terminal Alkynes",Journal of Organic Chemistry,13,China,,2018
"Synthesis and anti-tumor activities of novel pyrazolo[1,5-a]pyrimidines",Archiv der Pharmazie,76,China,"Anti-tumor activities, Pyrazolo[1,5-a]pyrimidines, Synthesis",2006
"Synthesis and rearrangement of cycloalkyl[1,2-e]oxazolo[3,2-a]pyrimidin-8/ 9-ones: An access to cycloalkyl[1,2-d]oxazolo[3,2-a]pyrimidin-5-ones",Tetrahedron,6,France,"DSC analysis, Intramolecular rearrangement, Oxazolo[3,2-a]pyrimidinone, X-ray crystallography",2005
"Roles of antibodies to influenza A virus hemagglutinin, neuraminidase, and M2e in conferring cross protection",Biochemical and Biophysical Research Communications,17,"Georgia, United States","Influenza virus, M2e, Neuraminidase, Split vaccines",2017
"Novel 1,2,4-Triazolo[1,5- a ]pyridines and their fused ring systems attenuate oxidative stress and prolong lifespan of caenorhabiditis elegans",Journal of Medicinal Chemistry,82,"Egypt, Saudi Arabia, Sudan",,2012
"A comprehensive review on ethnomedicinal, phytochemical and pharmacological properties of genus Bistorta (L.) scop.",Fitoterapia,0,India,"Biological activities, Bistorta, Ethnobotany, Kashmir Himalaya, Pharmacology, Phytochemicals",2024
"Microwave assisted one-pot synthetic route to imidazo[1,2-: A] pyrimidine derivatives of imidazo/triazole clubbed pyrazole and their pharmacological screening",New Journal of Chemistry,43,India,,2018
"2-Substituted 5,6-dimethyl-3-phenylsulfonyl-pyrazolo[1,5-a]pyrimidines: New series of highly potent and specific serotonin 5-HT6 receptor antagonists",European Journal of Medicinal Chemistry,38,"Russian Federation, United States","5-HT<sub>6</sub> receptor antagonist, Phenylsulfonyl, Pyrazolopyrimidine, SAR",2011
Inhibition by norharman of metabolism of benzo[a]pyrene by the microsomal mixed function oxidase of rat liver,Chemico-Biological Interactions,22,Japan,"1,6-quinone, benzo[a]pyrene-1,6-dione, 3,6-quinone, benzo[a]pyrene-3,6-dione, 3-hydroxybenzo[a]pyrene, 3-OH-BP, 4,5-diol, 4,5-dihydro-4,5-dihydroxybenzo[a]pyrene, 6,12-quinone, benzo[a]pyrene-6,12-dione, 7,8-diol, 7,8-dihydro-7,8-dihydroxybenzo[a]pyrene, 9,10-diol, 9,10-dihydro-9,10-dihydroxybenzo[a]pyrene, 9-hydroxybenzo[a]pyrene, 9-OH-BP, benzo[a]pyrene, BP, high-pressure liquid chromatography, HPLC",1980
"Hyperconjugation effect on diene reactivity in 1-methyltetrazolo[5,1-a]isoindole-derived amides and thioamides",Tetrahedron,6,Ukraine,"Amides, Diels–Alder reaction, Diene reactivity, Isoindoles, n→σ* hyperconjugation, Thioamides",2019
Differential modulation of innate immune responses in human primary cells by influenza a viruses carrying human or avian nonstructural protein 1,Journal of Virology,15,"Austria, United States","Dendritic cells, Epithelial cells, Influenza, Innate immunity, Interferons, NS1 protein",2020
Establishment of a novel cell-based assay using HLA-transfected cells to detect HLA antibodies,Journal of Immunological Methods,0,Japan,"HLA antibody, HNA, HPA, ICFA, Single antigen",2021
"Syntheses of 3-(2-Nitrovinyl)-indoles, Benzo[a]carbazoles, Naphtho[2,1-a]carbazoles, and 1-Hydroxy-β-carbolines Lead to Identification of Antiproliferative Compounds Active under Hypoxia",Journal of Organic Chemistry,0,"Russian Federation, United States",,2024
"Synthesis of new 6-halogeno-imidazo[1,2-a]pyridines by SRN1reactions",Arkivoc,14,France,"Imidazo[1,2-a]pyridine, Nitroheterocycles, Reductive alkylating agent, S <sub>RN</sub>1",2003
"Thiazolo[3,2-a] Pyrimidones as a Novel Anti-TB Agents",Journal of Heterocyclic Chemistry,2,India,,2018
"Synthesis and Antiproliferative Evaluation of New Pyrimido[1,6-a]Thieno[2,3-d]Pyrimidine Derivatives",Journal of Heterocyclic Chemistry,3,,,2017
A Metal-Free Synthesis of 3-Phenoxyimidazo Heterocycles by Catalytic Oxidative Cyclization of 2-Amino-azaarenes with Lignin Models,Synthesis (Germany),11,China,"2-phenoxyacetophenone, benzo[ d ]imidazo[2,1- b ]thiazole, imidazo[1,2- a ]pyridine, lignin model, metal-free, oxidative cyclization",2018
"Synthesis, characterization, and urease inhibition of 5-substituted-8- methyl-2H-pyrido[1,2-a]pyrimidine-2,4(3H)-diones",Medicinal Chemistry Research,22,"Morocco, Pakistan","Anti-urease, Dimroth rearrangement, Pyridopyrimidines, Virtual screening",2012
"Azines and azoloazines, part 1: Reactions of triazolo[3,4-a]phthalazine and its derivatives with carbanions",Journal of Heterocyclic Chemistry,1,Poland,,2014
"Synthesis of tetrahetrocyclic systems including pyrido[2′,3′:3, 4]pyrazolo[1,5-a]pyrimidine fused with pyrazole derivatives and isolated with 1,3,4-oxa-, thiadiazole, and 1,2,4-tetrazole derivatives",Journal of Heterocyclic Chemistry,9,Egypt,,2010
"The distributions of HLA-A, HLA-B, HLA-C, HLA-DRB1 and HLA-DQB1 allele and haplotype at high-resolution level in Zhejiang Han population of China",International Journal of Immunogenetics,51,China,"allele frequency, human leucocyte antigen, polymerase chain reaction sequencing-based typing",2019
"Synthesis and antiproliferative activity of amino-substituted benzimidazo[1,2- a ]quinolines as mesylate salts designed by 3D-QSAR analysis",Molecular Diversity,8,Croatia,"3D-QSAR, Amines, Anticancer, Benzimidazo[1,2-a]quinolines, Mesylate salts, Microwave",2017
"Carbon-Carbon Bond Cleavage Reaction: Synthesis of Multisubstituted Pyrazolo[1,5-a]pyrimidines",Journal of Organic Chemistry,48,India,,2015
Chemoselective synthesis of erythromycin A ketolides substituted in the C10-methyl group,Bioorganic and Medicinal Chemistry,8,Norway,"Allylic substitution, C10-methylamines, N-oxidation, NBS acetoxylation, Pd-catalysed carbylation",2007
A simple and effective approach to the synthesis of isoquinoline derivatives under solvent-free conditions,Combinatorial Chemistry and High Throughput Screening,4,,"Indolizine, Isoquinoline, One-pot reactions, Phenacyl bromides, Solvent-free",2012
"Regioselective synthesis of 3-aminoimidazo[1,2- a ]-pyrimidines under continuous flow conditions",Journal of Organic Chemistry,13,"China, United Kingdom",,2014
Iodine-Mediated Intramolecular C-H Amination of Benzimidazoles: A Metal-Free Route to Dihydroimidazobenzimidazoles,Synthesis (Germany),6,India,"amination, C-H functionalization, imidazobenzimidazole, iodine, optical purity",2018
"Synthesis of 8-substituted pyrazolo[1,5-a]-1,3,5-triazine derivatives by palladium-catalyzed cross-coupling reactions",Synthesis,8,France,"Bioisosteres, Palladium, Purine, Pyrazolo[1,5-a]-1,3,5-triazine",2007
"Synthesis, antiproliferative activity and DNA binding properties of novel 5-Aminobenzimidazo[1,2-a]quinoline-6-carbonitriles",European Journal of Medicinal Chemistry,42,"France, Croatia","Amino side chains, Antiproliferative activity, Benzimidazo[1,2-a]quinolines, Cellular distribution, DNA binding properties",2014
"Route to pyrazolo[5,1-a]isoquinolines via a copper-catalyzed tandem reaction of 2-alkynylbromobenzene with pyrazole",Journal of Organic Chemistry,42,China,,2013
"Skin carcinogenesis tests in mice of derivatives of 7,12-dimethyl- benz[a]anthracene substituted in the 'a' ring",Carcinogenesis,9,United States,,1983
Selective changes of GABA A channel infunit mRNAs in the hippocampus and orbitofrontal cortex but not in prefrontal cortex of human alcoholics,Frontiers in Cellular Neuroscience,24,"Finland, Sweden","Brain, Channel, Dependence, GABA <sub>A</sub> , Post-mortem",2012
"Synthesis and thermal, electrochemical, photophysical properties of novel symmetric/asymmetric indolo[2,3-a]carbazole derivatives bearing different aryl substituents",Tetrahedron,9,China,"Electrochemical properties, Indole[2,3-a]carbazole, Luminescent materials, Photophysical properties, Thermal stability",2017
"Synthesis of some novel arylazo disperse dyes derived from 5-amino-tetrazolo[1,5-a]pyrimidin-7-ol as coupling component and investigation of their absorption spectra",Journal of Heterocyclic Chemistry,1,"China, Mongolia",,2013
"Synthesis, Characterization, Solvatochromic Properties, and Antimicrobial-radical Scavenging Activities of New Diazo Dyes Derived from Pyrazolo[1,5-a]pyrimidine",Journal of Heterocyclic Chemistry,11,,,2017
The optimization of TaqMan real-time RT-PCR assay for transcriptional profiling of GABA-A receptor subunit plasticity,Journal of Neuroscience Methods,35,United States,"GABA-A receptor, GAPDH, Neurosteroid withdrawal, Real-time PCR, TaqMan",2009
A single nucleotide polymorphism in GABAA receptor isoforms is potentially responsible for isoflurane sensitivity in mice,Genetics and Molecular Research,3,China,"GABA<sub>A</sub> receptors, Isoflurane sensitivity, Median effective dose, Mice, SNP",2016
"Discovery of a pyrazolo[1,5-a]pyrimidine derivative (MT-3014) as a highly selective PDE10A inhibitor via core structure transformation from the stilbene moiety",Bioorganic and Medicinal Chemistry,10,Japan,"Conditioned avoidance response (CAR), Phosphodiesterase (PDE) 10A, Pyrazolopyrimidine, Quinoxaline, Schizophrenia",2019
"Novel fluorinated pyrrolo[1,2-a]pyrazine-2,6-dione derivatives: Synthesis and anticonvulsant evaluation in animal models of epilepsy",Bioorganic and Medicinal Chemistry,12,Poland,"Anticonvulsant agent, Antiseizure agent, Broad spectrum, Fluorine derivatives, Multicomponent reaction, Pyrrolo[1,2-a]pyrazine",2014
New influenza A(H7N7) viruses detected in live poultry markets in China,Virology,7,"China, Japan","Avian influenza virus, H7N7, Live poultry market",2016
"Design and synthesis of imidazo[1,2-a]pyridine-chalcone conjugates as antikinetoplastid agents",Chemical Biology and Drug Design,3,"Belgium, South Africa","antikinetoplastid, chalcone, drug likeliness properties, imidazo[1,2-a]pyridine, neglected tropical diseases (NTDs), Trypanosoma brucei brucei, Trypanosoma brucei rhodesiense",2024
A review of natural products with antileishmanial activity,Phytomedicine,363,Brazil,"Antileishmanial activity, Antileishmaniasis, Leishmania, Leishmanicidal activity, Medicinal plants, Natural products",2005
"Avian influenza A virus H7N9 in China, a role reversal from reassortment receptor to the donator",Journal of Medical Virology,5,China,"avian influenza A virus, H7N9, H9N2, influenza A virus, reassortant, reassortment",2023
"Structure-based design and synthesis of imidazo[1,2-a]pyridine derivatives as novel and potent Nek2 inhibitors with in vitro and in vivo antitumor activities",European Journal of Medicinal Chemistry,42,"China, United States","Antitumor activity, Imidazo[1,2-a]pyridine, Nek2 inhibitors, Selectivity",2017
Total Synthesis of Terpenes and Their Biological Significance: A Critical Review,Pharmaceuticals,6,"China, Malaysia, Pakistan","natural product, terpenes, total synthesis",2022
Cholinesterase inhibitory activity versus aromatic core multiplicity: A facile green synthesis and molecular docking study of novel piperidone embedded thiazolopyrimidines,Bioorganic and Medicinal Chemistry,25,"United Kingdom, Malaysia, Saudi Arabia","AChE and BChE inhibitory activity, Aromatic core multiplicity, Domino cascade synthesis, Ionic liquids, Molecular modeling, Thiazolopyrimidines",2014
"Indium catalyzed solvent-free multicomponent synthesis of cytotoxic dibenzo[a,h]anthracenes from aldehydes, 2-hydroxy-1,4-naphthoquinone, and 2-naphthol",Tetrahedron,20,Spain,"Cytotoxicity, Indium trichloride, Multicomponent reaction, Naphthoquinone",2014
"Novel optimization of valmerins (tetrahydropyrido[1,2- a ]isoindolones) as potent dual CDK5/GSK3 inhibitors",European Journal of Medicinal Chemistry,20,"France, Morocco","CDK5, Cell effects, Curtius rearrangement, GSK3, Isocyanates, Kinase profiling, Molecular modeling, Pyridoisoindolones, Valmerins",2016
Palladium-catalyzed carbonylative synthesis of indoloisoindoloquinazolinone derivatives by using CO as a carbonyl source,Tetrahedron,5,China,"Carbon monoxide, Carbonylative annulation, Indoloisoindoloquinazolinone, Palladium-catalyzed",2019
Human genes with codon usage bias similar to that of the nonstructural protein 1 gene of influenza A viruses are conjointly involved in the infectious pathogenesis of influenza A viruses,Genetica,2,"China, Togo","Adaptation to host, Codon usage bias, Influenza A virus, Nonstructural protein 1, NS1 human interactome, Relative synonymous codon usage",2022
"A facile, regioselective synthesis of novel 3-(N-phenylcarboxamide)pyrazolo[1,5-a]pyrimidine analogs in the presence of KHSO 4 in aqueous media assisted by ultrasound and their antibacterial activities",Molecular Diversity,18,"France, India","5-Aminopyrazoles, Antibacterial, Condensation, Formylation, Pyrazolopyrimidines, Ultrasound irradiation, X-ray crystallography",2016
"L-Proline anchored multicomponent synthesis of novel pyrido[2,3-a] carbazoles; Investigation of in vitro antimicrobial, antioxidant, cytotoxicity and structure activity relationship studies",European Journal of Medicinal Chemistry,34,"India, United States","Antibacterial, Antifungal, Antioxidant, Cytotoxicity, Pyrido[2,3-a]carbazoles, Structure-activity relationship",2011
"Phytobiological assessment of some new compounds with dibenzo[a,d][7]annulene moieties",Farmacia,2,Romania,"Dibenzo[a, D][7]annulene, Phytobiological testing, Triticum test",2015
A Greener Approach Synthesis and Docking Studies of Perimidine Derivatives as Potential Anticancer Agents,Journal of Heterocyclic Chemistry,11,"Egypt, Saudi Arabia",,2018
"Design, synthesis, and biological evaluation of novel 3-substituted imidazo[1,2-a]pyridine and quinazolin-4(3H)-one derivatives as PI3Kα inhibitors",European Journal of Medicinal Chemistry,40,China,"Anticancer agents, Imidazo[1,2-a]pyridine, Phosphatidylinositol 3-kinase, PIK3CA gene, Quinazolin-4(3H)-one",2017
"Design, synthesis and molecular docking of new [1,2,4] triazolo[4,3-a]quinoxaline derivatives as anticancer agents targeting VEGFR-2 kinase",Molecular Diversity,13,"Egypt, Saudi Arabia","Anticancer, Docking, Quinoxaline, VEGFR-2 inhibitors",2022
"Synthesis of isoindolo[2,1-a]quinazoline derivatives in ionic liquid catalyzed by iodine",Journal of Heterocyclic Chemistry,19,China,,2014
"Exploiting the 7-methylimidazo[1,5-a]pyrazin-8(7H)-one scaffold for the development of novel chemical inhibitors for Bromodomain and Extraterminal Domain (BET) family",Bioorganic Chemistry,11,China,"Anticancer, BET family, BRD4 inhibitors, Molecular docking",2019
"Convenient synthesis of perfluoroalkyl substituted 2-oxopyridine-fused 1,3-diazaheterocycles via a one-pot three-component reaction",Tetrahedron,15,China,"Ketene dithioacetal, Methyl 2-perfluoroalkynoate, Multicomponent reaction, One-pot synthesis, Perfluoroalkylated ring-fused 2-pyridone",2013
"CuI-catalyzed C-N bond formation and cleavage for the synthesis of benzimidazo[1,2- a ]quinazoline derivatives",Journal of Organic Chemistry,71,China,,2014
"Design, synthesis, and evaluation of novel VEGFR2 kinase inhibitors: Discovery of [1,2,4]triazolo[1,5-a]pyridine derivatives with slow dissociation kinetics",Bioorganic and Medicinal Chemistry,44,Japan,"[1,2,4]Triazolo[1,5-a]pyridine, PDGFR, Type-II VEGFR2 kinase inhibitor",2013
"Novel 4-oxo-4,10-dihydrobenzo[4,5]imidazo[1,2-a]pyrimidine-3-carboxylic acid derivatives as hiv-1 integrase inhibitors: Synthesis, docking studies, molecular dynamics simulation and biological activities",Medicinal Chemistry,2,,"2-a]pyrimidine-3-carboxylic acid, 5]imidazo[1, Benzo[4, Docking, HIV-1 integrase, Human Immunodeficiency Virus type 1 (HIV-1), Molecular dynamics, Synthesis",2021
"Pyrazolo-[1,5-a]-1,3,5-triazine corticotropin-releasing factor (CRF) receptor ligands",Bioorganic and Medicinal Chemistry,29,United States,,2003
Genetically diverse low pathogenicity avian influenza A virus subtypes co-circulate among poultry in Bangladesh,PLoS ONE,41,"Bangladesh, United States",,2016
"Synthesis and in silico docking of new pyrazolo[4,3-e]pyrido[1,2-a]pyrimidine-based cytotoxic agents",International Journal of Molecular Sciences,4,"Germany, Saudi Arabia, Tunisia","Cytotoxicity, In silico docking, Pyrazolo-pyrido-pyrimidines, SAR, Tumor cell lines",2021
Mechanism of action of a novel series of naphthyridine-type ribosome inhibitors: Enhancement of tRNA footprinting at the decoding site of 16S rRNA,Antimicrobial Agents and Chemotherapy,8,United States,,2005
Review of genome sequencing technologies in molecular characterization of influenza A viruses in swine,Journal of Veterinary Diagnostic Investigation,10,South Africa,"IAV subtyping, IAV surveillance, influenza A virus, MinION, next-generation sequencing, Sanger sequencing, swine IAV sequencing, whole-genome sequencing",2022
"Synthesis and antibacterial activity of new 4″-O-carbamates of 11,12-cyclic carbonate erythromycin A 6,9-imino ether",Journal of Antibiotics,12,China,"4″-O-carbamate derivatives, antibacterial activity, erythromycin A 6,9-imino ether, resistance, synthesis",2011
"Nitrothiadiazolo[3,2-a]pyrimidines as promising antiglycating agents",European Journal of Medicinal Chemistry,23,Russian Federation,"Antidiabetic, Antiglycation, Cholorodeoxygenation, Dipeptidyl peptidase-4, Structure-activity relationship, Thiadiazolopyrimidines",2020
Erythrocyte binding preference of 16 subtypes of low pathogenic avian influenza and 2009 pandemic influenza A (H1N1) viruses,Veterinary Microbiology,16,"Thailand, United States","2009 pandemic influenza A (H1N1) virus, Erythrocytes, Hemagglutination assay, Low pathogenic avian influenza viruses",2010
"Identification of new 5-(2,6-dichlorophenyl)-3-oxo-2,3-dihydro-5H-thiazolo[3,2-a]pyrimidine-7-carboxylic acids as p38α MAPK inhibitors: Design, synthesis, antitumor evaluation, molecular docking and in silico studies",Bioorganic Chemistry,1,Egypt,"Antitumor activity, DNA damage, Fused pyrimidines, In silico studies, Molecular docking, P38α MAPK",2024
"Mild and General Synthesis of Pyrrolo[2,1-a]isoquinolines and Related Polyheterocyclic Frameworks from Pyrrole Precursors Derived from a Mechanochemical Multicomponent Reaction",Journal of Organic Chemistry,58,Spain,,2017
Penicillium genus as a source for anti-leukemia compounds: an overview from 1984 to 2020,Leukemia and Lymphoma,11,Brazil,"Leukemia, natural products, L-asparaginase, Penicillium",2021
"Synthesis and positive inotropic evaluation of 2-(4-(4-substituted benzyloxy)-3-methoxybenzyl)-1,4-diazepan-1-yl-n-(4,5-dihydro-1-methyl[1,2,4] triazolo[4,3-a]quinolin-7-yl)-acetamides",Archiv der Pharmazie,9,China,"1,4-Diazepane, [1,2,4]Triazolo[4,3-a]quinolines, Positive inotropic activity, Stroke volume",2008
"Synthesis of some new thiazolo[3,2-A]pyrimidine derivatives and screening of their in vitro antibacterial and antitubercular activities",Medicinal Chemistry Research,35,China,"Antibacterial, Antitubercular, Cyclization, Thiazole, Thiazolopyrimidine",2016
"Synthesis and Pharmacological Activity of 2,9-Disubstituted Imidazo[1,2-a]Benzimidazole Phenyl- and Alkylthiocarbamides",Pharmaceutical Chemistry Journal,5,Russian Federation,"2,9-disubstituted imidazo[1,2-a]benzimidazole-3-thiocarbamides, 5-HT<sub>4</sub>-agonist effect, antiglycation activity, antioxidant properties, AT<sub>1</sub>-antagonist activity, synthesis",2016
"Triazolo[4,3-a] quinoxaline and [1,2,4]triazolo[4,3- a] quinoxaline-1-thiol-derived DNA intercalators: Design, synthesis, molecular docking, in silico ADMET profiles and anti-proliferative evaluations",New Journal of Chemistry,39,Egypt,,2021
Pseurotin A and its analogues as inhibitors of immunoglobuline E production,Bioorganic and Medicinal Chemistry Letters,79,Japan,"10-Deoxypseurotin A, Immunosuppressive activity, Inhibitor of IgE production, Pseurotin A, Structure-activity relationship, Synerazol",2009
"Imidazo[1,2-a]quinazolines as novel, potent EGFR-TK inhibitors: Design, synthesis, bioactivity evaluation, and in silico studies",Bioorganic Chemistry,6,"France, South Africa","Antiproliferative activity, Cancer, EGFR, Imidazoquinazoline, Tyrosin protein kinases",2023
A solvent-free protocol for one pot conversion of Baylis Hillman acetates to pyridopyrimidinones,Journal of Heterocyclic Chemistry,15,India,,2011
Single step synthesis of new fused pyrimidine derivatives and their evaluation as potent Aurora-A kinase inhibitors,European Journal of Medicinal Chemistry,76,"Egypt, Saudi Arabia","Aurora-A, Colon tumor, Kinase inhibitors, Molecular modeling, Pyrazolo[1,5-a]pyrimidine, Pyrimido[1,2-a]benzimidazole, Structure-activity relationship (SAR), Triazolo[1,5-a]pyrimidine",2011
"Aminoimidazo[1,2-a]pyridines: Regioselective synthesis of substituted imidazonaphthyridines, azacarbolines and cyclazines",Tetrahedron,24,"Spain, France","Azacarboline, Cyclazine, Imidazonaphthyridine, Imidazo[1,2-a]pyridine",2002
