Title,Source title,Cited by,Authors Country,Author Keywords,Year
"Copper(i) halide and palladium(ii) chloride complexes of 4-thioxo[1,3,5]oxadiazocines: Synthesis, structure and antibacterial activity",New Journal of Chemistry,6.0,Russian Federation,,2020
The peptide lycosin-I attenuates TNF-α-induced inflammation in human umbilical vein endothelial cells via IκB/NF-κB signaling pathway,Inflammation Research,16.0,China,"HUVECs, Inflammation, Lycosin-I, NF-κB",2018
Persistent IKKα phosphorylation induced apoptosis in UVB and Poly I:C co-treated HaCaT cells plausibly through pro-apoptotic p73 and abrogation of IκBα,Molecular Immunology,3.0,"China, Japan","Apoptosis, IKKα, IκBα, p73, Toll-like receptor 3, UVB",2018
An enzyme-linked immunosorbent assay for immune complex of HTLV-I,Journal of Immunological Methods,3.0,Japan,"ELISA, Immune complex, Monoclonal antibody, T cell leukemia virus type I, human, T cell leukemia, adult",1989
"I-int phenotype among three individuals of a Parsi community from Mumbai, India",Immunohematology,0.0,Malaysia,"I-int phenotype, India, Parsi community",2014
Characterization of Large-scale HPC Workloads with non-naïve I/O Roofline Modeling and Scoring,Proceedings of the International Conference on Parallel and Distributed Systems - ICPADS,0.0,Germany,"HPC, I/O, I/O Analysis, I/O Performance, I/O System Evaluation, Performance Modeling Workflow",2023
A note on I-convergence and I*-convergence of sequences and nets in topological spaces,Matematicki Vesnik,4.0,India,"I- sequentially compact, I-cluster point, I-convergence, I-limit point, I<sup>*</sup>-convergence",2015
Differential effect of subspecies of lipoprotein containing apolipoprotein A-I on cholesterol efflux from cholesterol-loaded macrophages: Functional correlation with lecithin : cholesterol acyltransferase,Biochimica et Biophysica Acta (BBA)/Lipids and Lipid Metabolism,62.0,Japan,"(Rat foam cell), (Rat macrophage), Cholesterol efflux, Lipoprotein containing apoA-I, Lipoprotein containing apoA-I/apoA-II, LpA-1, LpA-I/A-II",1992
Cross-layer coordination in the I/O software stack of extreme-scale systems,Concurrency and Computation: Practice and Experience,6.0,China,"cross-layer I/O optimization, data locality, HPC I/O stack, I/O forwarding, I/O interference, load balance",2018
A reading attempt of Bayramī Melāmi Sheikh Huseyn-i Lāmeāknī's A Criticized Couplet About Tawhid With Tracts; [Bayramî-Melâmî Şeyhi Hüseyn-i Lâmekânî'nin Tevhide Dair Tenkit Edilen Bir Beytini Risalelerle Okuma Denemesi*],Cumhuriyet Ilahiyat Dergisi,0.0,,"Fusûsîlik, Fuşūşī, Huseyn-i Lāmekānī, Hüseyn-i Lâmekânî, Munīrī-yi Belgradī, Münîrî-yi Belgradî, Salâhaddîn-i Uşşâkî, Salāh al-dīn-i ‘Uşşāk!, Tevhîd, Tevhīd, Turkish Islamic literature, Türk İslâm Edebiyatı, Vahdet-i vücûd, Wahdat al-wujud",2020
Mitochondrial complex I deficiency of nuclear origin. II. Non-structural genes,Molecular Genetics and Metabolism,27.0,France,"Complex I assembly chaperones, Complex I biogenesis, Complex I or nicotinamide adenine dinucleotide (NADH) - ubiquinone oxidoreductase, Mitochondrial respiratory chain",2012
The uric acid crystal receptor Clec12A potentiates type I interferon responses,Proceedings of the National Academy of Sciences of the United States of America,33.0,"Germany, Denmark","C-type lectin receptor, Clec12A, LCMV, TBK1-IRF3 signaling, Type I interferon",2019
I -FTOP is isomorphic to I -FQN and I -AITOP,Fuzzy Sets and Systems,25.0,China,"I -fuzzy quasi-coincident neighborhood system, I -fuzzy topology, Topology",2004
Molecular characterisation of group i allergen eur m i from house dust mite euroglyphus maynei,International Archives of Allergy and Immunology,54.0,United Kingdom,"Allergen, Asthma, Der f I, Der p I, Eur m I, Euroglyphus, Group I, House dust mite, Sequence",1992
"Identification and synthesis of [1-asparagine, 5-valine, 9-glycine] angiotensin I produced from plasma of American eel Anguilla rostrata",General and Comparative Endocrinology,29.0,United States,,1985
Rapid isolation of photosystem I chlorophyll-binding proteins by anion exchange perfusion chromatography,Photosynthesis Research,35.0,Sweden,"fluorescence, LHC I-680, LHC I-730, light-harvesting complex I (LHC I), PS I",1995
Structural and functional differences of subspecies of apoA-I-containing lipoprotein in patients with plasma cholesteryl ester transfer protein deficiency,Journal of Lipid Research,53.0,Japan,"CETP, lipoproteins containing apoA-I, LpA-I, LpA-I/A-II, reverse cholesterol transport",1995
The E5 oncoprotein of BPV-4 does not interfere with the biosynthetic pathway of non-classical MHC class I,Virology,16.0,United Kingdom,"BPV, Classical MHC class I, E5, E5-MHC class I interaction, MHC class I down-regulation, Non-classical MHC class I",2006
Generated I-fuzzy topological spaces,Fuzzy Sets and Systems,20.0,China,"Generated I-fuzzy topological space, I F T<sub>1</sub>, I-fuzzy continuous function, I-fuzzy N-compactness, Lowen functors",2005
Range-BW: I/O scheduler for predicable disk I/O bandwidth,"2010 2nd International Conference on Computer Engineering and Applications, ICCEA 2010",4.0,Japan,"I/O bandwidth control, I/O controller, Range-BW, Service stability",2010
Antibodies to human T-cell lymphotropic virus type 1 in the aqueous humor of HTLV-I associated uveitis,Journal of Japanese Ophthalmological Society,3.0,Japan,"anti-HTLV-I antibody, aqueous humor, HTLV-I, HTLV-I associated uveitis, local synthesis",1994
"Structural transition from dimeric to tetrameric i-motif, caused by the presence of TAA at the 3′-end of human telomeric C-rich sequence",Biopolymers,27.0,India,"C-quartet, C-tetraplexes, Circular dichroism, G-quadruplexes, Gel electrophoresis, I-DNA, I-motif DNA, I-tetraplexes, Multistranded DNA, UV-thermal denaturation",2010
The development of decision limits for the GH-2000 detection methodology using additional insulin-like growth factor-I and amino-terminal pro-peptide of type III collagen assays,Drug Testing and Analysis,26.0,"Switzerland, United Kingdom","Amino-terminal pro-peptide of type III collagen (P-III-NP), Doping, Growth hormone, Insulin-like growth factor-I (IGF-I), Test",2015
Antibodies against p40tax Gene Product of Human T‐Lymphotropic Virus Type‐I (HTLV‐I) under Various Conditions of HTLV‐I Infection,Japanese Journal of Cancer Research,30.0,Japan,"Anti‐p40<sup>tax</sup>—Adult T cell leukemia—HTLV‐I‐associated myelopathy, HTLV‐I",1989
Antibody responses to the env epitopes of human T-lymphotropic virus type I in rhesus macaques naturally infected with simian T-lymphotropic virus type I,Research in Virology,4.0,United States,"HTLV, STLV, Envelope protein, Epitope, Immunodominance, Synthetic peptide, Sensitivity",1993
V.V. ROZANOV ON THE PAGES OF «BIRZHEVYE VEDOMOSTI» («STOCK EXCHANGE NEWS)» AND «NOVOYE SLOVO» («NEW WORD)» (FROM THE HISTORY OF RELATIONS WITH THE I.I. YASINSKI; [В.В. РОЗАНОВ НА СТРАНИЦАХ «БИРЖЕВЫХ ВЕДОМОСТЕЙ» И «НОВОГО СЛОВА» (ИЗ ИСТОРИИ ОТНОШЕНИЙ С И.И. ЯСИНСКИМ)],Solov'evskie Issledovania,0.0,Russian Federation,"family and Christianity, I. I. Yasinsky‟s neitzscheanism, polemics about the case of Azef, religious contradictions between V. V. Rozanov and I. I. Yasinsky, S.A. Tsvetkov's bibliography, V. V. Rozanov and I. I. Yasinsky‟s correspondence, «Birzhevye Vedomosti», «Novoye slovo»",2019
Downregulation of constitutive and heavy metal-induced metallothionein-I expression by nuclear factor I,Gene Expression,26.0,United States,"Metal transcription factor-I (MTF-I), Metallothionein, Nuclear factor I (NFI)",2001
Structure and dynamics of mesophilic variants from the homing endonuclease I-DmoI,Journal of Computer-Aided Molecular Design,2.0,"Switzerland, Denmark, Spain, Italy","Electric field, Endonuclease, I-DmoI, Molecular dynamics, Protein dynamics and activity, X-ray",2017
"Comparison of two new HTLV-I/II screening methods, Abbott Alinity i rHTLV-I/II and Diasorin LIAISON® XL murex recHTLV-I/II, to Abbott architect rHTLVI/II assay",Journal of Clinical Virology,5.0,France,"Alinity i rHTLV-I/II, ARCHITECT rHTLVI/II, Human T-cell lymphotropic virus, LIAISON® XL murex recHTLV-I/II, Method comparison, Serological assay",2023
Gold(I) carbene complexes causing thioredoxin 1 and thioredoxin 2 oxidation as potential anticancer agents,Journal of Medicinal Chemistry,222.0,"Germany, Italy, Netherlands",,2012
Comparative Analysis of the Antibody Response to the HTLV‐I gag and env Proteins in HTLV‐I Asymptomatic Carriers and HAM/TSP Patients: an Isotype and Subclass Analysis,Scandinavian Journal of Immunology,11.0,"Canada, United States",,1994
Kinetic and thermodynamic analyses of spontaneous exchange between high-density lipoprotein-bound and lipid-free apolipoprotein A-I,Biochemistry,23.0,"Japan, United States",,2015
I -statistical limit points and I -statistical cluster points of double sequences,Journal of Analysis,0.0,"India, Mali","Double I-natural density, I-statistical boundedness of a double sequence, I-statistical cluster point of a double sequence, I-statistical convergence of double sequence, I-statistical limit point of a double sequence",2020
The MHC class I genes of zebrafish,Developmental and Comparative Immunology,33.0,United States,"Haplotype, Histocompatibility, Immunity, MHC, Multigene families, Polymorphism",2014
Insulin-like growth factor-I (IGF-I): Safety and efficacy,Pediatric Endocrinology Reviews,11.0,Israel,"GH resistance, Growth promoting effect of IGF-I, IGF binding proteins, IGF-I adverse effects, IGF-I and malignancy, IGF-I treatment, Insulin-like growth factor I (IGF-I), Laron syndrome, Somatomedins",2004
NLRC5: A newly discovered MHC class I transactivator (CITA),Microbes and Infection,64.0,United States,"CIITA, MHC class I, NLR proteins",2012
Apolipoprotein A-I directly interacts with extracellular domain 1 of human ABCA1,"Bioscience, Biotechnology and Biochemistry",8.0,Japan,"ABCA1, ApoA-I, Crosslinking, High-density lipoprotein (HDL)",2019
LABIOS: A distributed Label-based I/O system,HPDC 2019- Proceedings of the 28th International Symposium on High-Performance Parallel and Distributed Computing,12.0,United States,"Datalabels, Elastic storage, Energy-aware I/O, Exascale I/O, Heterogeneous I/O, Label-based I/O, Storage bridging, Task-based I/O",2019
Activation of NF-κB by HTLV-I and implications for cell transformation,Oncogene,200.0,"Japan, United States","Adult T-cell leukemia, HTLV-I, NF-κB, Tax",2005
Mechanism of inhibitory effect of dextran sulfate and heparin on human T-cell lymphotropic virus type I (HTLV-I)-induced syncytium formation in vitro: role of cell-to-cell contact,Antiviral Research,25.0,Japan,"Adhesion, Cell fusion, Dextran sulfate, Heparin, Human T-cell lymphotropic virus type I (HTLV-I), Syncytium formation",1994
Characterization of subspecies of lipoprotein containing apolipoprotein A-I in heterozygotes for familial lecithin:cholesterol acyltransferase deficiency,Atherosclerosis,5.0,"Canada, Japan","LCAT, Lipoproteins containing apo A-I, LpA-I, LpA-I/A-II",1995
An Empirical Roofline Model for Extreme-Scale I/O Workload Analysis,"2023 IEEE International Parallel and Distributed Processing Symposium Workshops, IPDPSW 2023",1.0,Germany,"HPC, I/O, I/O Analysis, I/O Performance, I/O System Evaluation, Performance Modeling Workflow",2023
Middle East respiratory syndrome coronavirus-encoded ORF8B inhibits RIG-I-like receptors by a differential mechanism,Journal of Microbiology and Biotechnology,11.0,,"Interferon, MERS-CoV, RIG-I",2019
Mitochondrial complex I deficiency of nuclear origin. I. Structural genes,Molecular Genetics and Metabolism,50.0,France,"Complex I architecture, Complex I biogenesis, Complex I nuclear genes mutations, Complex I or NADH-ubiquinone oxidoreductase, Mitochondrial respiratory chain",2012
"Spatially Bursty I/O on Supercomputers: Causes, Impacts and Solutions",IEEE Transactions on Parallel and Distributed Systems,11.0,China,"bursty I/O, I/O forwarding, I/O node mapping, Parallel I/O, resource allocation",2020
Simplified supervised i-vector modeling with application to robust and efficient language identification and speaker verification,Computer Speech and Language,48.0,"China, United States","I-vector, Language identification, Simplified i-vector, Simplified supervised i-vector, Speaker verification, Supervised i-vector",2014
Discovery of DNA topoisomerase I inhibitors with low-cytotoxicity based on virtual screening from natural products,Marine Drugs,27.0,China,"Low toxic, Molecular docking, Natural product, Topo I inhibitor, Virtual screening",2017
A Maternal Risk Factor for Mother‐to‐Child HTLV‐I Transmission: Viral Antigen‐producing Capacities in Culture of Peripheral Blood and Breast Milk Cells,Japanese Journal of Cancer Research,23.0,Japan,"HTLV‐I, HTLV‐I antigen‐positive cells, Mother‐to‐child transmission, Peripheral blood and breast milk",1995
Human glioma cells transformed by IGF-I triple helix technology show immune and apoptotic characteristics determining cell selection for gene therapy of glioblastoma,Journal of Clinical Pathology - Molecular Pathology,27.0,"France, Senegal, United States","Apoptosis, Glioblastoma, Insulin-like growth factor I triple helix, Major histocompatibility complex class I and B7",2001
Genetic Control of Urinary Deoxyribonuclease (DNase I) Activity Levels in Mice,Experimental Animals,8.0,Japan,"Deoxyribonuclease I (DNase I), Dna1r (DNase I regulator), Kidneys, Mice",1996
SUMOylation of RIG-I positively regulates the type I interferon signaling,Protein and Cell,57.0,China,"innate immunity, RIG-I, SUMOylation, type I interferon",2010
Characterization of retinoic acid-inducible gene-I (RIG-I) expression corresponding to viral infection and UVB in human keratinocytes,Journal of Dermatological Science,19.0,Japan,"IRF-1, Keratinocytes, Poly(I:C), RIG-I, UVB irradiation",2012
IFI16 Positively Regulates RIG-I-Mediated Type I Interferon Production in a STING-Independent Manner,DNA and Cell Biology,0.0,China,"IFN-γ-inducible protein 16, interferon gene-stimulating protein, retinoic acid-inducible gene I, type I interferon",2024
Des-aspartate angiotensin I (DAA-I) reduces endothelial dysfunction in the aorta of the spontaneously hypertensive rat through inhibition of angiotensin II-induced oxidative stress,Vascular Pharmacology,9.0,"Hong Kong, Malaysia, United States","DAA-I, Endothelial function, Hypertension, Nitric oxide, Renin-angiotensin system",2015
"Prevalence of HTLV-I-associated myelopathy among HTLV-I carriers in Saga, Japan",Neuroepidemiology,10.0,Japan,"HTLV-I carriers, HTLV-I-associated myelopathy, Human T-lymphotropic virus type I, Prevalence of HTLV-I-associated myelopathy",1989
Pharmacodynamic considerations with recombinant human insulin-like growth factor-I in children,Hormone Research,3.0,"Iraq, United States","Hyperinsulinism, IGF-I, IGF-I dosing, IGFBP, Pharmacokinetics, rhIGF-I dosing",2005
Mother-to-child transmission of human T-cell lymphotropic virus type I (HTLV-I) in jamaica: Association with antibodies to envelope glycoprotein (gp46) epitopes,Journal of Acquired Immune Deficiency Syndromes,49.0,"Jamaica, United States","Antibody titer, Breastfeeding, Envelope proteins, HTLV-I, Mother-to-child transmission",1993
Understanding I/O performance using I/O skeletal applications,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),9.0,"Georgia, Jersey, United States",,2012
Some further results on I-Cauchy sequences and condition (AP),Computers and Mathematics with Applications,64.0,India,"Condition (AP), I-Cauchy, I-divergence, I<sup>*</sup>-Cauchy, I<sup>*</sup>-divergence, Ideals",2010
Revealing applications' access pattern in collective I/O for cache management,Proceedings of the International Conference on Supercomputing,18.0,United States,"collective i/o, high performance computing, parallel i/o",2014
"Blocking type i interferon signaling rescues lymphocytes from oxidative stress, exhaustion, and apoptosis in a streptozotocin-induced mouse model of type i diabetes",Oxidative Medicine and Cellular Longevity,13.0,"Egypt, Saudi Arabia",,2013
Sequential measurements of IGF-I serum concentrations in adolescents with Laron syndrome treated with recombinant human IGF-I (rhIGF-I),Journal of Pediatric Endocrinology and Metabolism,3.0,"Austria, Germany","growth failure, IGF-I serum concentrations, Laron syndrome, recombinant human IGF-I, severe primary IGF-I deficiency",2018
"On semi∗-I-open Sets, pre∗-I-open Sets and e-I-open Sets in Ideal Topological Spaces",Boletim da Sociedade Paranaense de Matematica,0.0,"Jordan, Japan","-I-open<sup>∗</sup>-I-open., e-I-open, Ideal topological space, semi<sup>∗</sup>-I-open",2023
GrIOt: Graph-based Modeling of HPC Application I/O Call Stacks for Predictive Prefetch,ACM International Conference Proceeding Series,0.0,France,"High Performance Computing, I/O Call Stacks, I/O Instrumentation, I/O Modeling, I/O Prediction, Predictive Prefetch",2023
Evaluation of Elecsys HTLV-I/II assay in comparison with ARCHITECT rHTLV-I/II assay with Korean samples,Journal of Clinical Laboratory Analysis,7.0,,"blood donor screening, clinical performance, HTLV-I/II, Korean",2019
Cyclic peptides. XVI. Syntheses of AM‐toxin I analogs containing a lower or higher homolog of the component L‐2‐amino‐5‐ (p‐methoxyphenyl)pentanoic acid residue*,International Journal of Peptide and Protein Research,8.0,Japan,"AM‐toxin I, cyclodepsipeptide, necrotic activity, peptide synthesis, phytotoxic peptide",1984
Blockade of TNF-α-induced NF-κB signaling pathway and anti-cancer therapeutic response of dihydrotanshinone I,International Immunopharmacology,41.0,China,"Cancer, Dihydrotanshinone I, Inflammation, IκBα, Nuclear factor-κB (NF-κB)",2015
"Scientific Opinion on the substantiation of health claims related to a combination of Lactobacillus rhamnosus CNCM I-1720, Lactobacillus helveticus CNCM I-1722, Bifidobacterium longum subsp. longum CNCM I-3470 and Saccharomyces cerevisiae var. boulardii CNCM I-1079 and defence against pathogenic gastro-intestinal microorganisms (ID 3017, further assessment) pursuant to Article 13(1) of Regulation (EC) No 1924/2006",EFSA Journal,1.0,,"Bifidobacterium longum CNCM I-3470, gastro-intestinal pathogens, health claims, Lactobacillus helveticus CNCM I-1722, Lactobacillus rhamnosus CNCM I-1720, Saccharomyces cerevisiae var. boulardii CNCM I-1079",2012
A decomposition of nano semi-i-continuity,Advances in Mathematics: Scientific Journal,0.0,India,"Nano A<sup>∗</sup><sub>R</sub>-I-sets, Nano A<sup>∗</sup><sub>δ</sub>-I-sets and nano A<sup>∗</sup><sub>I</sub><sub>δ</sub>-sets, Nano semi-I-continuity, Nano α-I-continuity",2020
Defective C-propeptides of the proα2(I) chain of type I procollagen impede molecular assembly and result in osteogenesis imperfecta,Journal of Biological Chemistry,60.0,"Germany, United States",,2008
Hepatitis E virus papain-like cysteine protease inhibits type i interferon induction by down-regulating melanoma differentiation-associated gene 5,Journal of Microbiology and Biotechnology,22.0,,"Hepatitis E virus, Interferon beta, MDA5, Type I interferon",2018
Effect of CRISPR/Cas9-mediated knockout of either IRF-3 or IRF-5 gene in Epithelioma papulosum cyprini cells on type I interferon response and NF-κB activity,Fish and Shellfish Immunology,1.0,Norway,"CRISPR/Cas9, IRF3, IRF5, Knockout, NF-κB, Poly (I:C), Type I interferon, VHSV",2023
Preparation and separation of hydroxy derivatives of uroporphyrinogen I by high-performance liquid chromatography with electrochemical detection,Journal of Chromatography A,6.0,United Kingdom,,1996
Rough weighted I-αβ-statistical convergence in locally solid Riesz spaces,Journal of Mathematical Analysis and Applications,5.0,India,"I-αβ-statistical convergence, Rough weighted I-αβ-statistical convergence, Rough weighted I-αβ-statistical limit set, Weighted I-αβ-statistical cluster points set",2022
A unique receptor-independent mechanism by which insulinlike growth factor i regulates the availability of insulinlike growth factor binding proteins in normal and transformed human fibroblasts,Journal of Clinical Investigation,85.0,United States,"Downregulation, IGF-I, IGF-I analogues, IGFBP-3, Thymidine incorporation, Type I IGF receptor",1991
Somatostatin inhibits basal and growth hormone-stimulated hepatic insulin-like growth factor-I production,Molecular and Cellular Endocrinology,32.0,United States,"Growth, IGF-I expression, Rainbow trout",2008
The US3 Kinase of Herpes Simplex Virus Phosphorylates the RNA Sensor RIG-I To Suppress Innate Immunity,Journal of Virology,13.0,"Germany, United States","Herpes simplex virus, Innate immunity, Interferons, RIG-I, Viral immune evasion, Viral kinases",2022
Implementation and evaluation of MPI nonblocking collective I/O,"Proceedings - 2015 IEEE/ACM 15th International Symposium on Cluster, Cloud, and Grid Computing, CCGrid 2015",4.0,United States,"Extended generalized request, MPI I/O, Nonblocking collective I/O, State machine, Two-phase method",2015
Insulin-like growth factor-I messenger RNA content in the oviduct of Japanese quail (Coturnix coturnix japonica): changes during growth and development or after estrogen administration,Comparative Biochemistry and Physiology. Part C: Comparative,11.0,Japan,"Estrogen, IGF-I gene expression, IGF-I mRNA, Insulin-like growth factor-I (IGF-I), Japanese quail, Ovalbumin gene expression, Oviduct development, Quail oviduct",1994
Autoantibodies and Immunoglobulins in Atomic Bomb Survivors with Human T-Lymphotropic Virus Type I,Internal Medicine,2.0,Japan,"Antinuclear antibody, HTLV-I-associated myelopathy, Human T-lymphotropic virus type I (HTLV-I), IgM, Rheumatoid factor",1996
Heterogeneity-Aware Collective I/O for Parallel I/O Systems with Hybrid HDD/SSD Servers,IEEE Transactions on Computers,9.0,"China, United States","collective I/O, I/O middleware, Parallel I/O system, solid state drive",2017
Antibacterial properties of water-soluble gold(I) N-heterocyclic carbene complexes,Journal of Inorganic Biochemistry,34.0,Argentina,"Antibacterial, N-heterocyclic carbene, Water-soluble Au(I)",2014
Genome-scale mapping of DNase I hypersensitivity,Current Protocols in Molecular Biology,67.0,United States,"Chromatin, DNase I-seq, Nucleosome, Regulatory DNA, Transcription",2013
Circulating free insulin-like growth-factor-I (IGF-I) levels should also be measured to estimate the IGF-I bioactivity,Journal of Endocrinological Investigation,20.0,Netherlands,"Bp-proteases, Free IGF-I, IGF-I bioactivity, IGFBPs, IRMA, Measurement of free IGF-I, Total IGF-I, Ultrafiltration",2003
I-131 MIBG post-therapy scan is more sensitive than I-123 MIBG pretherapy scan in the evaluation of metastatic neuroblastoma,Nuclear Medicine Communications,28.0,"China, United States","I-123 MIBG, I-131 MIBG, metastases, neuroblastoma",2012
Improving MPI Collective I/O for High Volume Non-Contiguous Requests with Intra-Node Aggregation,IEEE Transactions on Parallel and Distributed Systems,10.0,United States,"MPI collective I/O, non-contiguous I/O, Parallel I/O, two-phase I/O",2020
I-statistical limit points ana I-statistical cluster points,Proyecciones,6.0,"India, Mali","I-asymptotic density, I-statistical boundedness, I-statistical cluster point, I-statistical convergence, I-statistical limit point",2019
Hétérogénéité topochimique des antigènes I et i érythrocytaires,Revue Francaise de Transfusion et Immuno-hematologie,0.0,France,,1978
I/O threads to reduce checkpoint blocking for an electromagnetics solver on Blue Gene/P and Cray XK6,"Proceedings of the 2nd International Workshop on Runtime and Operating Systems for Supercomputers, ROSS 2012 - In Conjunction with: ICS 2012",5.0,United States,"checkpointing, fault tolerance, MPI/pthread, parallel I/O",2012
"Serum insulin-like growth factor I, bone mineral density and biochemical markers of bone metabolism in children with idiopathic osteoporosis",Endocrine Regulations,15.0,Poland,"Bone metabolism markers, Children, Idiopathic osteoporosis, Insulin-like growth factor I",2001
Age- and experience-dependent expression of dynamin I and synaptotagmin I in cat visual system,Journal of Comparative Neurology,18.0,"Belgium, Poland","Development, Distribution, Dyn I, Monocular deprivation, Plasticity, Syt I",2007
TRIM38 Induced in Respiratory Syncytial Virus-infected Cells Downregulates Type I Interferon Expression by Competing with TRIM25 to Bind RIG-I,Inflammation,0.0,China,"IFN-I, RIG-I, RNA virus infection, TRIM25, TRIM38",2024
Degradation of angiotensin I to [des-Asp1]angiotensin I by a novel aminopeptidase in the rat hypothalamus,Biochemical Pharmacology,39.0,Singapore,"amastatin, aminopeptidases, angiotensin I/II, aspartyll-β-naphthylamide, bestatin, [des-aspartate<sup>1</sup>]angiotensin I",1994
No substrate specificity of converting enzyme for n-terminal substituted angiotensin i in man,Clinical and Experimental Hypertension,0.0,"Japan, United States","ACE, Aldosterone-stimulating action in normal men, Angiotensin-converting enzyme, Captopril, N-terminal substituted angiotensin I, Pressor action, Renin-suppressing action, Sarcosinel-angiotensin I, Sarcosinel-angiotensin II, Steroidogenic action, Substrate specificity ACE inhibitor",1987
EB virus-encoded RNAs are recognized by RIG-I and activate signaling to induce type I IFN,EMBO Journal,260.0,Japan,"Burkitt's lymphoma, EBER, EBV, RIG-I, Type I IFN",2006
Serum IGF-I and IGFBP-3 levels of Turkish children during childhood and adolescence: Establishment of reference ranges with emphasis on puberty,Hormone Research,59.0,,"Healthy children, IGF-I and IGFBP-3 levels, IGF-I and IGFBP-3, reference ranges, Insulin-like growth factor binding protein-3, Insulin-like growth factor-I, Puberty, IGF-I and IGFBP-3 levels",2006
Detection of mRNA for the tax1/rex1 gene of human T-cell leukemia virus type I in fresh peripheral blood mononuclear cells of adult T-cell leukemia patients and viral carriers by using the polymerase chain reaction,Proceedings of the National Academy of Sciences of the United States of America,295.0,Japan,,1989
Comparison of diagnostic value of I-123 MIBG and high-dose I-131 MIBG scintigraphy including incremental value of SPECT/CT over planar image in patients with malignant pheochromocytoma/paraganglioma and neuroblastoma,Clinical Nuclear Medicine,67.0,Japan,"I-123-MIB, I-131 MIBG, malignant neuroendocrine tumor, SPECT/CT",2011
"Short-chain fatty acids (Except hexanoic acid) lower nf-kb transactivation, which rescues inflammation-induced decreased apolipoprotein a-i transcription in hepg2 cells",International Journal of Molecular Sciences,44.0,"Netherlands, Saudi Arabia","ApoA-I, Inflammation, NF-κB, PPARα, SCFAs",2020
SARS-CoV-2 ORF9b inhibits RIG-I-MAVS antiviral signaling by interrupting K63-linked ubiquitination of NEMO,Cell Reports,169.0,China,"COVID-19, innate immune response, interferon, RIG-I-MAVS signaling, SARS-CoV-2",2021
"Development of an affordable, sustainable and efficacious plant‐based immunomodulatory food ingredient based on bell pepper or carrot rg‐i pectic polysaccharides",Nutrients,26.0,"Belgium, Germany, Finland, Netherlands","BpRG‐I, Carrot, CRG‐I, Innate immune response, Microbiota modulation, Rhamnogalacturonan‐I (RG‐I), bell pepper, Short chain fatty acids (SCFA), immunity, Viral infections",2021
Scalable I/O forwarding framework for high-performance computing systems,"Proceedings - IEEE International Conference on Cluster Computing, ICCC",127.0,United States,"I/O forwarding, Leadershipclass machines, Parallel file systems",2009
Effect of protein nutrition on insulin-like growth factor-I (IGF-I) receptor in various tissues of rats,Journal of Nutritional Science and Vitaminology,13.0,Japan,"IGF-I receptor, IGF-I receptor mRNA, insulin-like growth factor-I (IGF-I), protein nutrition, rat",1996
iShare: Balancing I/O performance isolation and disk I/O efficiency in virtualized environments,Concurrency and Computation: Practice and Experience,10.0,"China, France","disk I/O efficiency, I/O performance isolation, I/O scheduling, virtualization",2016
Imaging and studying human topoisomerase I on mica surfaces in air and in liquid by atomic force microscopy,Scanning,9.0,China,"Atomic force microscopy (AFM), Mica, Monolayer, Topoisomerase I (TOPO I)",2009
Frontline Science: Estrogen-related receptor γ increases poly(I:C)-mediated type I IFN expression in mouse macrophages,Journal of Leukocyte Biology,5.0,,"estrogen-related receptor γ, macrophage, type I IFN",2021
IKKε negatively regulates RIG-I via direct phosphorylation,Journal of Medical Virology,8.0,"China, United States","IKKε, Phosphorylation, RIG-I",2016
A novel high-performance rapid screening test for the detection of total HTLV-I and HTLV-II antibodies in HTLV-I/II infected patients,BMC Infectious Diseases,0.0,"France, Singapore","Diagnosis, HTLV, Lateral immunochromatographic assay, Rapid screening test, Sensitivity, Specificity",2024
The core promoter controls basal and inducible expression of duck retinoic acid inducible gene-I (RIG-I),Molecular Immunology,6.0,Canada,"DDX58, Ducks, Interferon regulatory factor 7, MAVS signalling, Pattern recognition receptor, Poly (I:C), Type I interferon",2018
ON I AND I*-Equal convergence and an egoroff-type theorem,Matematicki Vesnik,16.0,India,"Chain condition, Egoroff Theorem, Filter, I and I*-equal convergence, I*-almost uniform equal convergence, I*-quasi vanishing restriction, I*-uniform equal convergence, P-ideal",2014
A new I-vector topology generated by a fuzzy norm,Fuzzy Sets and Systems,6.0,China,"Fuzzy normed linear space, I-topological vector space, I-vector topology, Induced I-topology, Locally convex I-topological vector space",2007
Bridging Storage Semantics Using Data Labels and Asynchronous I/O,ACM Transactions on Storage,2.0,United States,"datalabels, elastic storage, energy-aware I/O, exascale I/O, heterogeneous I/O, Label-based I/O, storage bridging, task-based I/O",2020
An X-chromosome linked mouse model (Ndufa1S55A) for systemic partial Complex I deficiency for studying predisposition to neurodegeneration and other diseases,Neurochemistry International,6.0,United States,"Complex I-Deficient mouse model, Mitochondrial disease, MWFE, NADH-Ubiquinone oxidoreductase, NDUFA1, Respiratory chain complex I",2017
RIG-I specifically mediates group II type I IFN activation in nervous necrosis virus infected zebrafish cells,Fish and Shellfish Immunology,41.0,United States,"Inflammatory response, NNV, RIG-I, Type I IFN, Zebrafish",2015
