id,year,title,publicationname,citedbycount,asia,oceania,europe,north_america,south_america,africa,keywords_list,cluster,keyword_category
96,2021,Optimization of loading condition for maxillary molar intrusion with midpalatal miniscrews by using finite element analysis,Applied Sciences (Switzerland),1,2,0,0,0,0,0,"['Anterior open bite', 'Biomechanics', 'Counter load', 'Finite element analysis', 'Hook position', 'Maxillary molar intrusion', 'Midpalatal miniscrew', 'Orthodontics', 'Tipping movement']",1,Medical and Technological Advances
97,2021,"Evaluation of regulating and provisioning services provided by a park designed to be resilient to climate change in bangkok, Thailand",Sustainability (Switzerland),10,6,0,0,0,0,0,"['Avoided runoff', 'Carbon storage and sequestration', 'I-Tree Eco international', 'Monetary value', 'Pollution removal']",1,Medical and Technological Advances
98,2021,COVID-19 experience transforming the protective environment of office buildings and spaces,Sustainability (Switzerland),2,2,0,0,0,0,0,"['Control environment', 'COVID-19', 'Office buildings and workplaces', 'Office-built environment', 'Regulatory environment']",1,Medical and Technological Advances
99,2021,Awareness and perspectives among asian anesthesiologists on postoperative delirium: A multinational survey,Journal of Clinical Medicine,0,8,0,0,1,0,0,"['Anesthesiology', 'Consciousness monitors', 'NIR spectroscopy', 'Perioperative care', 'Postoperative cognitive complications', 'Postoperative complications']",1,Medical and Technological Advances
100,2021,"Chikungunya virus infection: molecular biology, clinical characteristics, and epidemiology in Asian countries",Journal of Biomedical Science,21,3,0,0,0,0,0,"['Asia', 'Chikungunya virus', 'E1: K211E and E2: V264A', 'Novel ECSA', 'Outbreak']",1,Medical and Technological Advances
101,2021,Genetic population of Plasmodium knowlesi during pre-malaria elimination in Thailand,Malaria Journal,1,4,0,1,0,0,0,"['pkdhfr', 'pkmsp1', 'Plasmodium knowlesi']",1,Medical and Technological Advances
102,2021,"Effect of ultra-high-molecular-weight molecular chains on the morphology, crystallization, and mechanical properties of polypropylene",Polymers,11,3,0,0,0,0,0,"['Crystallization behavior', 'Mechanical property', 'Polypropylene', 'Rheological property', 'Ultra-high molecular weight component']",1,Medical and Technological Advances
103,2021,Recent developments in magnetic nanoparticles and nano-composites for wastewater treatment,Journal of Environmental Chemical Engineering,27,7,0,0,0,0,0,"['Adsorption', 'Biological material', 'Catalysis', 'Magnetic nanomaterial', 'Nano-composite', 'Water treatment']",1,Medical and Technological Advances
104,2021,Autism-related transcription factors underlying the sex-specific effects of prenatal bisphenol a exposure on transcriptome-interactome profiles in the offspring prefrontal cortex,International Journal of Molecular Sciences,12,4,0,0,1,0,0,"['Autism spectrum disorder', 'Bisphenol A', 'Endocrine-disrupting chemical', 'Interactome', 'Molecular docking', 'Prefrontal cortex', 'Prenatal exposure', 'Sex differences', 'Transcription factor', 'Transcriptome']",1,Medical and Technological Advances
105,2021,The effects of oral Aloe vera on the efficacy of transplanted human endothelial cells and the expression of matrix metalloproteinases in diabetic wound healing,Heliyon,3,4,0,0,0,0,0,"['Aloe vera', 'Angiogenesis', 'Diabetic wound healing', 'Human umbilical vein endothelial cells (HUVECs)', 'Matrix metalloproteinases (MMPs)']",1,Medical and Technological Advances
106,2021,Pongamol inhibits epithelial to mesenchymal transition through suppression of FAK/Akt-mTOR signaling,Anticancer Research,3,3,0,0,0,0,0,"['EMT', 'FAK', 'Non-small cell lung cancer', 'Pongamol']",1,Medical and Technological Advances
107,2021,"Asplenium appressifolium (Aspleniaceae), a new species from Thailand",Nordic Journal of Botany,0,2,0,0,0,0,0,"['Asplenium crinicaule', 'Asplenium pellucidum', 'Asplenium tenerum', 'Limestone', 'Malay Peninsula']",1,Medical and Technological Advances
108,2021,Growth-climate relationships and long-term growth trends of the tropical forest tree choerospondias axillaris (Anacardiaceous) in east-central Thailand,Forests,3,11,1,0,1,0,0,"['Choerospondias axillaris', 'Growth-climate response', 'Long-term growth pattern', 'Mo Singto Forest dynamic plot', 'Thailand', 'Tree rings', 'Tropical broad-leaved forests']",1,Medical and Technological Advances
109,2021,Impacts of blended bombyx mori silk fibroin and recombinant spider silk fibroin hydrogels on cell growth,Polymers,7,6,0,1,0,0,0,"['Cell culture', 'Hydrogel', 'Self-assembly', 'Silk fibroin', 'Spider silk']",1,Medical and Technological Advances
110,2021,Supercritical reaction between methanol and glycerol: The effects of reaction products on biodiesel properties,Energy Conversion and Management: X,7,4,0,0,0,0,0,"['Biodiesel', 'Biofuel', 'Glycerol', 'Supercritical methanol', 'Transesterification']",1,Medical and Technological Advances
111,2021,Anisotropic silver nanoparticles gel exhibits antibacterial action and reduced scar formation on wounds contaminated with methicillin-resistant staphylococcus pseudintermedius (Mrsp) in a mice model,Animals,4,4,0,0,0,0,0,"['Alternative antimicrobial agent', 'Antimicrobial resistance', 'Nanotechnology', 'Scar reduction', 'Silver nanoparticles', 'Staphylococcus pseudintermedius', 'Wound infection']",1,Medical and Technological Advances
112,2021,In vivo biocompatible self-assembled nanogel based on hyaluronic acid for aqueous solubility and stability enhancement of asiatic acid,Polymers,4,6,0,0,0,0,0,"['Asiatic acid', 'Cytotoxicity study', 'Hyaluronic acid', 'In vivo animal study', 'Poly(N-isopropylacrylamide)', 'Stability study', 'Thermoresponsive nanogel']",1,Medical and Technological Advances
113,2021,Porous electrodeposited cu as a potential electrode for electrochemical reduction reactions of co2,Applied Sciences (Switzerland),2,6,0,0,0,0,0,"['Catalyst', 'Electrochemical CO2 reduction', 'Porous copper', 'Surface microstructure']",1,Medical and Technological Advances
114,2021,Multifunctional polymeric nanogels for biomedical applications,Gels,15,4,0,0,0,0,0,"['Core-shell nanogels', 'Functionalized polymer', 'Polymeric nanogels', 'Stimuli-responsive']",1,Medical and Technological Advances
115,2021,Association between daily niacin intake and glaucoma: National health and nutrition examination survey,Nutrients,6,2,0,1,1,0,0,"['Glaucoma', 'NHANES', 'Niacin', 'Nicotinamide']",1,Medical and Technological Advances
116,2021,Enhanced energy recovery from food waste by co-production of bioethanol and biomethane process,Fermentation,10,2,0,0,0,0,0,"['Bioethanol', 'Biomethane', 'Biorefinery', 'Co-production', 'Food waste']",1,Medical and Technological Advances
117,2021,Patterns and outcomes of immune-related adverse events in solid tumor patients treated with immune checkpoint inhibitors in Thailand: a multicenter analysis,BMC Cancer,7,3,0,0,0,0,0,"['cancer immunotherapy', 'Immune-checkpoint inhibitors', 'Immune-related adverse events', 'Overall survival', 'Thailand']",1,Medical and Technological Advances
118,2021,"Klebsiella pneumoniae complex harboring mcr‐1, mcr‐7, and mcr‐8 isolates from slaughtered pigs in thailand",Microorganisms,14,7,0,0,0,0,0,"['Colistin', 'Klebsiella pneumoniae', 'Mcr', 'Pigs', 'Thailand']",1,Medical and Technological Advances
119,2021,Synergistic effect of starch/polyvinyl alcohol/citric acid films decorated with in-situ green-synthesized nano silver on bioactive packaging films,Journal of Environmental Chemical Engineering,15,5,0,0,1,0,0,"['Bioactive packaging film', 'Green synthesis', 'Polyvinyl alcohol', 'Silver nanoparticle', 'Starch']",1,Medical and Technological Advances
120,2021,"COVID-19 vaccine acceptance, hesitancy, and determinants among physicians in a university-based teaching hospital in Thailand",BMC Infectious Diseases,31,8,0,0,0,0,0,"['COVID-19', 'Healthcare', 'Physicians', 'SARS-CoV-2 vaccine', 'Vaccine acceptance', 'Vaccine hesitancy']",1,Medical and Technological Advances
121,2021,Alteration of extracellular matrix components in the anterior pituitary gland of neonatal rats induced by a maternal bisphenol a diet during pregnancy,International Journal of Molecular Sciences,1,6,0,0,0,0,0,"['Anterior pituitary gland', 'Bisphenol A', 'Collagen', 'Endocrine-disrupting chemicals', 'Extracellular matrix', 'Folliculostellate cell', 'Matrix metalloproteinase', 'Neonate', 'Pericyte', 'Tissue inhibitors of metalloproteinase']",1,Medical and Technological Advances
122,2021,Cross-regulation of notch/AKT and serum/glucocorticoid regulated kinase 1 (SGK1) in IL-4-stimulated human macrophages,International Immunopharmacology,1,4,0,0,0,0,0,"['AKT', 'Human macrophages', 'IL-4', 'Notch signaling', 'SGK1']",1,Medical and Technological Advances
123,2021,Changing look AGN Mrk 590: Broad-line region and black hole mass from photometric reverberation mapping,Monthly Notices of the Royal Astronomical Society,1,7,0,1,1,0,0,"['galaxies: Active', 'galaxies: Seyfert', 'quasars: emission lines']",1,Medical and Technological Advances
124,2021,Evolution of multidrug resistance in plasmodium falciparum: A longitudinal study of genetic resistance markers in the greater mekong subregion,Antimicrobial Agents and Chemotherapy,10,12,0,2,0,0,0,"['Genetic resistance markers', 'Greater Mekong subregion', 'Plasmodium falciparum']",1,Medical and Technological Advances
125,2021,Vascular pythiosis caused by Pythium aphanidermatum: the first case report in Asia,European Journal of Medical Research,4,3,0,0,0,0,0,"['Asia', 'Case report', 'Pythiosis', 'Pythium', 'Pythium aphanidermatum', 'Pythium insidiosum']",1,Medical and Technological Advances
126,2021,A critical review on second- and third-generation bioethanol production using microwaved-assisted heating (MAH) pretreatment,Renewable and Sustainable Energy Reviews,27,12,0,0,0,0,0,"['Algae', 'Bioethanol', 'Lignocelluloses', 'Microwave-assisted heating', 'Sustainable development goal', 'Torrefaction']",1,Medical and Technological Advances
127,2021,Thromboembolic and hemorrhagic risks after vaccination against SARS-CoV-2: a systematic review and meta-analysis of randomized controlled trials,Thrombosis Journal,13,2,0,0,0,0,0,"['Hemorrhage', 'SARS-CoV-2', 'Thromboembolism', 'Vaccine']",1,Medical and Technological Advances
128,2021,Effects of tube potential selection together with computed tomography automatic tube current modulation on CT imaging performance,Journal of Radiological Protection,3,2,0,1,0,0,0,"['Automatic tube current modulation (ATCM)', 'Computed tomography (CT)', 'Low kV', 'Tube potential']",1,Medical and Technological Advances
129,2021,Implementation of Seismic Ground Response Analysis in Estimating Liquefaction Potential in Northern Thailand,Indonesian Journal on Geoscience,5,2,0,0,0,0,0,"['earthquakes', 'Mae Lao', 'northern Thailand', 'seismic response']",4,Public Health and Epidemiology
130,2021,Definitions of acute renal dysfunction: an evolving clinical and biomarker paradigm,Current Opinion in Critical Care,8,4,0,2,0,0,0,"['acute kidney injury', 'biomarkers', 'definition', 'sub-phenotypes', 'sub-types']",2,Cell Biology and Biochemistry
131,2021,A comparison of efficiency and safety between dual and triple immunosuppressive regimens in pediatric living donor liver transplantation at King Chulalongkorn Memorial Hospital,Transplantation Reports,0,2,0,0,0,0,0,"['Azathioprine', 'Children', 'Cyclosporine', 'Immunosuppressive agents', 'Liver transplantation', 'Living donor', 'Mycophenolate', 'Rejection', 'Tacrolimus']",1,Medical and Technological Advances
132,2021,Identification of Highly Potent α-Glucosidase Inhibitors from Artocarpus integer and Molecular Docking Studies,Chemistry and Biodiversity,3,10,0,0,0,0,0,"['Artocarpus integer', 'molecular docking model', 'Moraceae', 'α-glucosidase inhibition']",1,Medical and Technological Advances
133,2021,One-pot upgrading of coconut coir lignin over high-efficiency Ni2P catalysts,Journal of Environmental Chemical Engineering,4,8,0,0,0,0,0,"['Biomass', 'Depolymerization', 'Lignin', 'Ni2P catalyst', 'Phenol', 'Py-GCMS']",1,Medical and Technological Advances
134,2021,"Effectiveness of mobile application on changing weight, healthy eating habits, and quality of life in children and adolescents with obesity: a randomized controlled trial",BMC Pediatrics,5,3,0,0,0,0,0,"['Adolescent', 'Childhood obesity', 'Children', 'Eating behavior', 'Mobile application', 'Quality of life', 'Weight reduction']",1,Medical and Technological Advances
135,2021,Use of Microbially Induced Calcite Precipitation for Soil Improvement in Compacted Clays,International Journal of Geosynthetics and Ground Engineering,16,5,0,0,0,0,0,"['Clays', 'Ground improvement', 'Microbially induced calcite precipitation', 'Microstructure', 'Strength']",1,Medical and Technological Advances
136,2021,Solidification of Sediments Deposited in Reservoirs with Cement and Fly Ash for Road Construction,International Journal of Geosynthetics and Ground Engineering,16,4,0,0,0,0,0,"['Cement', 'Dredged sediments', 'Fly ash', 'Road materials', 'Soil stabilisation']",1,Medical and Technological Advances
137,2021,Global diversity of the gene encoding the Pfs25 protein—a Plasmodium falciparum transmission-blocking vaccine candidate,Parasites and Vectors,3,6,0,0,0,0,0,"['Diversity', 'Haplotype', 'Malaria', 'Plasmodium falciparum', 'Transmission-blocking', 'Vaccine']",1,Medical and Technological Advances
138,2021,A new cluster of rhabdovirus detected in field-caught sand flies (Diptera: Psychodidae: Phlebotominae) collected from southern Thailand,Parasites and Vectors,2,5,0,0,0,0,0,"['Molecular survey', 'Rhabdoviridae', 'Sand fly', 'Thailand']",1,Medical and Technological Advances
139,2021,"Effects of pyrrolidine on methane hydrate formation: Thermodynamic, kinetic, and morphology perspectives",Journal of Natural Gas Science and Engineering,6,2,0,0,0,0,0,"['Hydrate', 'Methane', 'Phase equilibrium', 'Pyrrolidine', 'Tetrahydrofuran']",1,Medical and Technological Advances
140,2021,Use of ozone for Vibrio parahaemolyticus inactivation alongside nitrification biofilter treatment in shrimp-rearing recirculating aquaculture system,Journal of Water Process Engineering,5,4,0,0,0,0,0,"['Brackish water', 'Litopenaeus vannamei', 'Nitrification', 'Recirculating aquaculture system', 'Residual ozone', 'Vibrio parahaemolyticus']",1,Medical and Technological Advances
141,2021,Factors affecting optimal antenatal care utilization in Indonesia: implications for policies and practices,Journal of Public Health Policy,2,5,0,0,0,0,0,"['Antenatal care services', 'Antenatal care utilization', 'Maternal health', 'Optimal antenatal care', 'Pregnancy problems awareness', 'Pregnant women']",1,Medical and Technological Advances
142,2021,An Efficient DNA Extraction for a Blue Xestospongia sp. Sponge and Its Associated Microorganisms Containing Cytotoxic Substances,Marine Biotechnology,0,2,0,0,0,0,0,"['DNA damage', 'DNA extraction', 'Marine sponge', 'Renieramycins']",1,Medical and Technological Advances
143,2021,"Biosynthesis, characterization, and antibacterial activity of gold nanoparticles",Journal of Infection and Public Health,62,3,0,1,0,0,2,"['Antibacterial activity', 'Dynamic light scattering studies', 'Electron microscopy', 'Gold nanoparticles', 'Panchagavya']",1,Medical and Technological Advances
144,2021,Leptospira collagenase and LipL32 for antibody detection in leptospirosis,Journal of Immunological Methods,1,5,0,0,0,0,0,"['ColA', 'Collagenase', 'Leptospirosis', 'Lipl32']",1,Medical and Technological Advances
145,2021,Non-destructive method for discrimination of weedy rice using near infrared spectroscopy and modified self-organizing maps (SOMs),Computers and Electronics in Agriculture,5,2,0,0,0,0,0,"['Cultivated rice', 'NIR', 'Paddy rice', 'SOMs', 'Weedy rice']",1,Medical and Technological Advances
146,2021,CAMSAP3 depletion induces lung cancer cell senescence-associated phenotypes through extracellular signal-regulated kinase inactivation,Cancer Medicine,5,7,0,0,0,0,0,"['CAMSAP3', 'cellular senescence-associated phenotypes', 'cyclin D1', 'extracellular signal-regulated kinase 1/2 (ERK1/2)', 'lung cancer']",1,Medical and Technological Advances
147,2021,"KDM6A mutations promote acute cytoplasmic DNA release, DNA damage response and mitosis defects",BMC Molecular and Cell Biology,4,1,0,3,0,0,0,"['DNA damage', 'KDM6A mutations', 'Mitosis defects', 'Nuclear integrity']",1,Medical and Technological Advances
148,2021,Imipenem dosing recommendations for patients undergoing continuous renal replacement therapy: systematic review and Monte Carlo simulations,Renal Replacement Therapy,1,8,0,0,2,0,0,"['AKI', 'Critically ill patients', 'CRRT', 'Drug dosing', 'Imipenem']",1,Medical and Technological Advances
149,2021,Fear inoculation among snake experts,BMC Psychiatry,5,2,0,5,0,0,0,"['Fear immunization', 'Fear of snakes', 'Hypophobia', 'Preparedness theory', 'Snake questionnaire', 'Snakebite']",1,Medical and Technological Advances
150,2021,Comparison between same-day discharge and overnight stay after atrial fibrillation ablation: Systematic review and meta-analysis,PACE - Pacing and Clinical Electrophysiology,7,3,0,0,5,0,0,"['atrial fibrillation ablation', 'overnight stay', 'same day discharge']",1,Medical and Technological Advances
151,2021,Payment mechanism and hospital admission: New evidence from Thailand healthcare reform,Social Science and Medicine,0,1,1,0,0,0,0,"['DRG-Based payment', 'Hospital admission', 'Length of stay', 'Out-of-pocket expenditure', 'Provider payment']",1,Medical and Technological Advances
152,2021,"Contrasting coral community structures between natural and artificial substrates at Koh Tao, Gulf of Thailand",Marine Environmental Research,11,3,1,3,2,0,0,"['Artificial reef', 'Coral reef', 'Recruitment', 'Spawning']",1,Medical and Technological Advances
153,2021,Boosting photocurrent density of 1D TiO2 based photoanodes by bismuth vanadium oxide enhancement for photoelectrochemical cell application,Inorganic Chemistry Communications,2,3,0,0,0,0,0,"['BiVO4/TiO2 heterostructure', 'Photoelectrochemical cells', 'Water splitting']",1,Medical and Technological Advances
154,2021,Endoscopic ultrasound guided fine needle biopsy (EUS-FNB) from peritoneal lesions: a prospective cohort pilot study,BMC Gastroenterology,2,4,0,0,0,0,0,"['Abdominal paracentesis', 'Ascites', 'Carcinomatosis peritonei', 'Endoscopic ultrasound (EUS)', 'Endoscopic ultrasound-guided fine needle aspiration (EUS-FNA)', 'Endoscopic ultrasound-guided fine needle biopsy (EUS-FNB)', 'Omental cake', 'Omentum', 'Peritoneal carcinomatosis', 'Peritoneal ligament', 'Peritoneal space']",1,Medical and Technological Advances
155,2021,CFD simulation and statistical experimental design analysis of core annular flow in T-junction and Y-junction for oil-water system,Chemical Engineering Research and Design,10,6,0,0,0,0,0,"['CFD', 'Core-flow', 'Hydrodynamics', 'Oil-water flow', 'T-pipes', 'Y-pipes']",1,Medical and Technological Advances
156,2021,Hydroxyxanthone ameliorates IL1β-induced epithelial barrier disruption in colonic-like cells by down-regulation of p-MLC expression,Journal of Functional Foods,0,4,0,0,0,0,0,"['Caco-2', 'Hydoxyxanthones', 'IL-1β', 'Intestinal barrier function disruption', 'Myosin light chain kinase']",1,Medical and Technological Advances
157,2021,Net energy analysis and techno-economic assessment of co-production of bioethanol and biogas from cellulosic biomass,Fermentation,11,2,0,0,0,0,0,"['Biogas', 'Biorefinery', 'Cellulosic biomass economic analysis', 'Co-production', 'Second-generation bioethanol']",1,Medical and Technological Advances
158,2021,Clinical outcomes of an ultrathin-strut sirolimus-eluting stent in all-comers population: Thailand Orsiro registry,BMC Cardiovascular Disorders,1,2,0,0,0,0,0,"['All-comer', 'Registry', 'Sirolimus', 'Ultrathin-strut']",1,Medical and Technological Advances
159,2021,Scale-up and flow behavior of cohesive granular material in a four-bladed mixer: effect of system and particle size,Advanced Powder Technology,5,1,0,1,1,0,0,"['Cohesive granular material', 'Discrete element method', 'Pharmaceutical mixing/blending process', 'Scale-up of bladed mixer', 'Solid particulate flow']",1,Medical and Technological Advances
160,2021,Effects of early estradiol valerate administration on bone turnover markers in surgically induced menopausal women,BMC Women's Health,1,3,0,0,0,0,0,"['Bone turnover markers', 'Estradiol valerate', 'Serum CTX', 'Serum P1NP', 'Surgical menopause']",1,Medical and Technological Advances
161,2021,Lignin-Based Microgels by Inverse Suspension Polymerization: Syntheses and Dye Removal,Macromolecular Chemistry and Physics,6,4,0,0,0,0,0,"['biodegradability', 'dye adsorption', 'inverse suspension polymerization', 'lignin', 'microgels']",2,Cell Biology and Biochemistry
162,2021,Comprehensive genome-wide analysis of calmodulin-binding transcription activator (CAMTA) in Durio zibethinus and identification of fruit ripening-associated DzCAMTAs,BMC Genomics,4,3,0,0,0,0,0,"['Auxin', 'CAMTA', 'Durian', 'Ethylene', 'Fruit ripening', 'Transcriptional regulation']",1,Medical and Technological Advances
163,2021,"Curcumin upregulates transforming growth factor-β1, its receptors, and vascular endothelial growth factor expressions in an in vitro human gingival fibroblast wound healing model",BMC Oral Health,9,3,0,0,0,0,0,"['Curcumin', 'Fibroblasts', 'Gingiva', 'Transforming growth factor beta', 'Vascular endothelial growth factor', 'Wound healing']",1,Medical and Technological Advances
164,2021,Strength and stiffness parameters for hardening soil model of rockfill materials,Soils and Foundations,13,4,0,0,0,0,0,"['Hardening Soil model', 'Particle breakage', 'Rockfill materials', 'Stress level dependency', 'Triaxial and Oedometer tests']",1,Medical and Technological Advances
165,2021,"Trachusa vietnamensis, a new species from Vietnam (Hymenoptera apoidea megachilidae)",Bulletin of Insectology,1,1,0,1,0,0,0,"['Anthophila', 'DNA barcode', 'Species description', 'Taxonomy', 'Wild bees']",1,Medical and Technological Advances
166,2021,Graphene oxide/doped polyindole/hydroxypropyl cellulose coated on interdigitated electrode as methanol sensor,Microchemical Journal,3,3,0,0,0,0,0,"['Chemical sensor', 'Conductive polymer', 'Graphene oxide', 'Hydroxypropyl cellulose', 'Interdigitated electrode', 'Polymer composite']",1,Medical and Technological Advances
167,2021,Corporate integrity and hostile takeover threats: Evidence from machine learning and “CEO luck”,Journal of Behavioral and Experimental Finance,16,4,0,0,1,0,0,"['Agency theory', 'Corporate governance', 'Hostile takeover', 'Integrity', 'Machine learning', 'Textual analysis']",1,Medical and Technological Advances
168,2021,Targets and strategies for vaccine development against dengue viruses,Biomedicine and Pharmacotherapy,7,6,0,0,0,0,0,"['Dengue vaccine', 'Dengue virus', 'DNA vaccine', 'Inactivated virus', 'Live-attenuated virus', 'Review', 'Subunit vaccine', 'Viral-vector vaccine']",1,Medical and Technological Advances
169,2021,"Indonesian Kaolin supported nZVI (IK-nZVI) used for the an efficient removal of Pb(II) from aqueous solutions: Kinetics, thermodynamics and mechanism",Journal of Environmental Chemical Engineering,19,7,0,0,0,0,0,"['Adsorption', 'IK-nVZI nanocomposite', 'Kinetics', 'Pb(II) ions removal', 'Thermodynamics']",1,Medical and Technological Advances
170,2021,Accurate determination of meat mass fractions using DNA measurements for quantifying meat adulteration by digital PCR,International Journal of Food Science and Technology,10,2,0,2,0,1,0,"['DNA measurements', 'droplet digital PCR', 'food mislabelling', 'mass fractions', 'meat quantification', 'pork/beef adulteration']",1,Medical and Technological Advances
171,2021,Development of the reverse hybrid jig: Separation of polyethylene and cross-linked polyethylene from eco-cable wire,Minerals Engineering,7,3,1,0,0,0,0,"['Jig', 'Plastic separation', 'Polyolefin', 'Recycling', 'Reverse hybrid jig']",1,Medical and Technological Advances
172,2021,A multi-objective modeling approach to harvesting resource scheduling: Decision support for a more sustainable Thai sugar industry,Computers and Industrial Engineering,4,2,0,1,1,0,0,"['Evolutionary algorithm', 'Harvesting resource scheduling', 'Multi-objective optimization problem', 'Particle swarm optimization', 'Sugarcane', 'Sustainability']",1,Medical and Technological Advances
173,2021,Colorimetric detection of Pb2+ ions using curcumin silver nanoparticles,Journal of Molecular Liquids,4,5,0,0,0,0,0,"['Biosynthesis', 'Colorimetric detection', 'Density functional theory', 'Silver nanoparticles', 'Turmeric extract']",1,Medical and Technological Advances
174,2021,Hydroxypropyl methylcellulose/microcrystalline cellulose biocomposite film incorporated with butterfly pea anthocyanin as a sustainable pH-responsive indicator for intelligent food-packaging applications,Food Bioscience,27,4,0,0,0,0,0,"['Anthocyanin', 'Butterfly pea', 'Freshness indicator', 'Intelligent packaging', 'Mackerel']",1,Medical and Technological Advances
175,2021,Factors associated with medication adherence of hypertensive patients in the Philippines: a systematic review,Clinical Hypertension,10,2,0,0,0,0,0,"['Hypertension', 'Medication adherence', 'Patient compliance', 'Pharmacy', 'Philippines']",1,Medical and Technological Advances
176,2021,Farnesoid X receptor agonist for the treatment of chronic hepatitis B: A safety study,Journal of Viral Hepatitis,12,1,0,7,0,0,0,"['cccDNA transcription', 'farnesoid X receptor', 'HBV therapy', 'phase Ib', 'Vonafexor']",1,Medical and Technological Advances
177,2021,Ablation versus medication as initial therapy for paroxysmal atrial fibrillation: An updated meta-analysis of randomized controlled trials,Journal of Arrhythmia,3,1,0,0,5,0,0,"['atrial fibrillation ablation', 'first-line therapy', 'paroxysmal atrial fibrillation']",1,Medical and Technological Advances
178,2021,Selective separation of trace nickel(II) and gold(I) ions via hollow fiber supported liquid membrane enhanced by synergistic extractants D2EHPA/TBP,Arabian Journal of Chemistry,5,2,0,0,0,0,0,"['Electroless nickel immersion gold plating', 'Gold(I)', 'Hollow fiber supported liquid membrane', 'Nickel(II)', 'Rinse wastewater']",1,Medical and Technological Advances
179,2021,Primary Versus Secondary Anaplastic Thyroid Carcinoma: Perspectives from Multi-institutional and Population-Level Data,Endocrine Pathology,3,8,0,0,2,0,0,"['Anaplastic', 'De novo', 'Primary', 'Secondary', 'Thyroid', 'Transformation', 'Undifferentiated']",1,Medical and Technological Advances
180,2021,Acceptance and outcome of interventions in a meropenem de-escalation antimicrobial stewardship program in pediatrics,Pediatrics International,3,5,0,0,0,0,0,"['acceptance', 'antimicrobial stewardship program (asp)', 'meropenem', 'pediatrics', 'prospective audit and feedback']",4,Public Health and Epidemiology
181,2021,Assessment and analysis of multi-biomass fuels for sustainable electricity generation,Renewable Energy,9,4,0,0,0,0,0,"['Biomass power plant', 'CO2 capture', 'Fluidized bed combustion', 'Multi-biomass fuels']",1,Medical and Technological Advances
182,2021,The Thai reference exome (T-REx) variant database,Clinical Genetics,15,14,0,0,0,0,0,"['database', 'genomic medicine', 'population genetics', 'precision medicine', 'rare disease', 'Thai']",4,Public Health and Epidemiology
183,2021,Smoking and Drinking Behaviors among Older Adults: A Comparative Analysis of Three Southeast Asian Countries,Journal of Cross-Cultural Gerontology,0,1,0,0,1,0,0,"['Correlates', 'Drinking', 'Older adults', 'Prevalence', 'Smoking', 'Southeast Asia']",1,Medical and Technological Advances
184,2021,Prevalence of complex root canal morphology in the mandibular first and second premolars in Thai population: CBCT analysis,BMC Oral Health,7,2,0,0,0,0,0,"['Bifurcation', 'C-shaped root canal', 'CBCT', 'Mandibular premolar', 'Thai population', 'Trifurcation']",1,Medical and Technological Advances
185,2021,Efficiencies of anaerobic hybrid and UASB reactors to alleviate the adverse effect of elevated salinity in wastewater,Journal of Chemical Technology and Biotechnology,1,5,0,0,0,0,0,"['anaerobic hybrid reactor', 'microbial activity', 'salinity', 'toxicity', 'upflow anaerobic sludge bed reactor']",0,Sustainability and Diversity
186,2021,Effect of ultrasound-guided selective sensory nerve blockade of the knee on pain management compared with periarticular injection for patients undergoing total knee arthroplasty: A prospective randomized controlled trial,Knee,5,2,0,0,0,0,0,"['Analgesia', 'Arthroplasty', 'Knee replacement', 'Nerve block', 'Pain management']",1,Medical and Technological Advances
187,2021,Dorsomorphin attenuates Jagged1-induced mineralization in human dental pulp cells,International Endodontic Journal,2,2,0,0,0,0,0,"['bone morphogenetic protein', 'dental pulp', 'Jagged1', 'notch signalling', 'transforming growth factor']",1,Medical and Technological Advances
188,2021,In-situ catalytic upgrading of bio-oil from rapid pyrolysis of biomass over hollow HZSM-5 with mesoporous shell,Bioresource Technology,17,5,0,0,0,0,0,"['Aromatic hydrocarbons selectivity', 'Bio-oil upgrading', 'Hollow HZSM-5', 'Mesoporous structure', 'Rapid pyrolysis']",1,Medical and Technological Advances
189,2021,Simulation of shear behavior of corroded reinforced concrete beams flexurally repaired with steel fiber-reinforced concrete,Structures,11,5,0,0,0,0,0,"['Corrosion', 'Finite element', 'Repair', 'Shear', 'Steel fiber reinforced concrete']",1,Medical and Technological Advances
190,2021,Vortex assisted dispersive liquid–liquid microextraction based on low transition temperature mixture solvent for the HPLC determination of pyrethroids in water samples: Experimental study and COSMO-RS,Microchemical Journal,5,5,0,0,0,0,0,"['Conductor-like screening model for realistic solvents (COSMO-RS)', 'DL-menthol', 'High-performance liquid chromatography (HPLC)', 'Liquid transition temperature mixture (LTTM)', 'Pyrethroids insecticides', 'Vortex assisted dispersive liquid–liquid microextraction (VADLLME)']",1,Medical and Technological Advances
191,2021,Efficacy of heat-killed and formalin-killed vaccines against Tilapia tilapinevirus in juvenile Nile tilapia (Oreochromis niloticus),Journal of Fish Diseases,19,8,0,2,0,0,0,"['immune responses', 'inactivated vaccine', 'Nile tilapia', 'protection', 'tilapia lake virus']",4,Public Health and Epidemiology
192,2021,"Comprehensive versus standard care in post-severe acute kidney injury survivors, a randomized controlled trial",Critical Care,13,9,0,0,0,0,0,"['AKI survivors', 'Comprehensive care', 'Critically ill patients', 'Post-acute kidney injury', 'Severe AKI']",1,Medical and Technological Advances
